title,imdb_poster,imdb_place,imdb_score,filmweb_poster,filmweb_place,filmweb_score
Witness for the Prosecution,"http://ia.media-imdb.com/images/M/MV5BMTc0MjgyNTUyNF5BMl5BanBnXkFtZTcwNDQzMDg0Nw@@._V1_SX34_CR0,0,34,50_AL_.jpg",81,8.3,,,
Requiem for a Dream,"http://ia.media-imdb.com/images/M/MV5BMzM2OTYwMTY4Nl5BMl5BanBnXkFtZTcwMjU1Njg3OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",82,8.3,http://1.fwcdn.pl/po/91/36/9136/6908595.4.jpg,67,7.0
To Kill a Mockingbird,"http://ia.media-imdb.com/images/M/MV5BMjA4MzI1NDY2Nl5BMl5BanBnXkFtZTcwMTcyODc5Mw@@._V1_SX34_CR0,0,34,50_AL_.jpg",83,8.3,,,
Lawrence of Arabia,"http://ia.media-imdb.com/images/M/MV5BMzAwMjM4NzA2OV5BMl5BanBnXkFtZTcwMDI0NzAwMQ@@._V1_SY50_CR0,0,34,50_AL_.jpg",84,8.3,,,
Eternal Sunshine of the Spotless Mind,"http://ia.media-imdb.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX34_CR0,0,34,50_AL_.jpg",85,8.3,,,
Full Metal Jacket,"http://ia.media-imdb.com/images/M/MV5BMjA4NzY4ODk4Nl5BMl5BanBnXkFtZTgwOTcxNTYxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",86,8.3,,,
Bicycle Thieves,"http://ia.media-imdb.com/images/M/MV5BMjIzMzAyMzg1Nl5BMl5BanBnXkFtZTgwMzMyNzk0MTE@._V1_SY50_CR0,0,34,50_AL_.jpg",87,8.3,,,
The Sting,"http://ia.media-imdb.com/images/M/MV5BMTY5MjM1OTAyOV5BMl5BanBnXkFtZTgwMDkwODg4MDE@._V1._CR52,57,915,1388_SX34_CR0,0,34,50_AL_.jpg",88,8.3,http://1.fwcdn.pl/po/21/37/12137/7416704.4.jpg,91,7.0
Singin' in the Rain,"http://ia.media-imdb.com/images/M/MV5BMTUxMTIyNTI4Nl5BMl5BanBnXkFtZTcwNTk1ODQyMg@@._V1_SX34_CR0,0,34,50_AL_.jpg",89,8.3,,,
Amadeus,"http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX34_CR0,0,34,50_AL_.jpg",90,8.3,http://1.fwcdn.pl/po/12/86/1286/7340682.4.jpg,48,7.0
Monty Python and the Holy Grail,"http://ia.media-imdb.com/images/M/MV5BMTkzODczMTgwM15BMl5BanBnXkFtZTYwNTAwODI5._V1_SX34_CR0,0,34,50_AL_.jpg",91,8.3,http://1.fwcdn.pl/po/10/96/1096/7058860.4.jpg,53,7.0
Snatch.,"http://ia.media-imdb.com/images/M/MV5BMTk5NzE0MDQyNl5BMl5BanBnXkFtZTcwNzk4Mjk3OA@@._V1_SY50_CR0,0,34,50_AL_.jpg",92,8.3,http://1.fwcdn.pl/po/13/26/1326/7635628.4.jpg,54,7.0
